ISO3,country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),year,Expected Years of Schooling,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
GHA,Ghana,Africa,Northern Hemisphere,Medium,SSA,133.0,2016,11.52073956,Sub-Saharan Africa,4.276,0.63107,0.49353,0.29681,0.40973,0.21203,0.0326
GIN,Guinea,Africa,Northern Hemisphere,Low,SSA,182.0,2016,9.319611033,Sub-Saharan Africa,3.607,0.22415,0.3109,0.18829,0.30953,0.29914,0.1192
GRC,Greece,Europe,Northern Hemisphere,Very High,,33.0,2016,18.64052963,Western Europe,5.033,1.24886,0.75473,0.80029,0.05822,0.0,0.04127
GTM,Guatemala,America,Northern Hemisphere,Medium,LAC,135.0,2016,10.70512247,Latin America and Caribbean,6.324,0.83454,0.87119,0.54039,0.50379,0.28808,0.08701
HND,Honduras,America,Northern Hemisphere,Medium,LAC,137.0,2016,9.888603846,Latin America and Caribbean,4.871,0.69429,0.75596,0.58383,0.26755,0.2044,0.06906
HRV,Croatia,Europe,Northern Hemisphere,Very High,,40.0,2016,15.18770027,Central and Eastern Europe,5.488,1.18649,0.60809,0.70524,0.23907,0.18434,0.04002
HUN,Hungary,Europe,Northern Hemisphere,Very High,,46.0,2016,15.11898041,Central and Eastern Europe,5.145,1.24142,0.93164,0.67608,0.1977,0.099,0.04472
IDN,Indonesia,Asia,Southern Hemisphere,High,EAP,114.0,2016,13.35651016,Southeast Asia,5.314,0.95104,0.87625,0.49374,0.39237,0.56521,0.00322
IND,India,Asia,Northern Hemisphere,Medium,SA,132.0,2016,12.34372044,South Asia,4.404,0.74036,0.29247,0.45091,0.40285,0.25028,0.08722
IRL,Ireland,Europe,Northern Hemisphere,Very High,,8.0,2016,18.79326057,Western Europe,6.907,1.48341,1.16157,0.81455,0.54008,0.44963,0.29754
IRN,Iran,Asia,Northern Hemisphere,High,SA,76.0,2016,14.93214035,Middle East and North Africa,4.813,1.11758,0.38857,0.64232,0.22544,0.38538,0.0557
IRQ,Iraq,Asia,Northern Hemisphere,Medium,AS,121.0,2016,11.69519175,Middle East and North Africa,4.575,1.07474,0.59205,0.51076,0.24856,0.19589,0.13636
ISL,Iceland,Europe,Northern Hemisphere,Very High,,3.0,2016,19.17450905,Western Europe,7.501,1.42666,1.18326,0.86733,0.56624,0.47678,0.14975
ISR,Israel,Asia,Northern Hemisphere,Very High,,22.0,2016,16.08654022,Middle East and North Africa,7.267,1.33766,0.99537,0.84917,0.36432,0.32288,0.08728
ITA,Italy,Europe,Northern Hemisphere,Very High,,30.0,2016,15.97875977,Western Europe,5.977,1.35495,1.04167,0.85102,0.18827,0.16684,0.02556
JAM,Jamaica,America,Northern Hemisphere,High,LAC,110.0,2016,13.18858746,Latin America and Caribbean,5.51,0.89333,0.96372,0.59469,0.43597,0.22245,0.04294
JOR,Jordan,Asia,Northern Hemisphere,High,AS,102.0,2016,10.34175396,Middle East and North Africa,5.303,0.99673,0.86216,0.60712,0.36023,0.14262,0.13297
JPN,Japan,Asia,Northern Hemisphere,Very High,,19.0,2016,15.22962,East Asia,5.921,1.38007,1.06054,0.91491,0.46761,0.10224,0.18985
KAZ,Kazakhstan,Asia,Northern Hemisphere,Very High,ECA,56.0,2016,15.14945984,Commonwealth of Independent States,5.919,1.22943,0.95544,0.57386,0.4052,0.15011,0.11132
KEN,Kenya,Africa,Northern Hemisphere,Medium,SSA,152.0,2016,10.56748569,Sub-Saharan Africa,4.356,0.52267,0.7624,0.30147,0.40576,0.41328,0.06686
KGZ,Kyrgyzstan,Asia,Northern Hemisphere,Medium,ECA,118.0,2016,13.03036976,Commonwealth of Independent States,5.185,0.56044,0.95434,0.55449,0.40212,0.38432,0.04762
KHM,Cambodia,Asia,Northern Hemisphere,Medium,EAP,146.0,2016,11.33676945,Southeast Asia,3.907,0.55604,0.5375,0.42494,0.58852,0.40339,0.08092
KOR,South Korea,Asia,Northern Hemisphere,Very High,,19.0,2016,16.50547028,East Asia,5.835,1.35948,0.72194,0.88645,0.25168,0.18824,0.07716
LBN,Lebanon,Asia,Northern Hemisphere,High,AS,112.0,2016,10.83927,Middle East and North Africa,5.129,1.12268,0.64184,0.76171,0.26228,0.23693,0.03061
LBR,Liberia,Africa,Northern Hemisphere,Low,SSA,178.0,2016,10.12530759,Sub-Saharan Africa,3.622,0.10706,0.50353,0.23165,0.25748,0.24063,0.04852
LKA,Sri Lanka,Asia,Northern Hemisphere,High,SA,73.0,2016,13.82598019,South Asia,4.415,0.97318,0.84783,0.62007,0.50817,0.46978,0.07964
LTU,Lithuania,Europe,Northern Hemisphere,Very High,,35.0,2016,16.49953079,Central and Eastern Europe,5.813,1.2692,1.06411,0.64674,0.18929,0.02025,0.0182
LUX,Luxembourg,Europe,Northern Hemisphere,Very High,,17.0,2016,14.22751999,Western Europe,6.871,1.69752,1.03999,0.84542,0.5487,0.27571,0.35329
LVA,Latvia,Europe,Northern Hemisphere,Very High,,39.0,2016,15.98268986,Central and Eastern Europe,5.56,1.21788,0.95025,0.63952,0.27996,0.17445,0.0889
MAR,Morocco,Africa,Northern Hemisphere,Medium,AS,123.0,2016,13.15964584,Middle East and North Africa,5.151,0.84058,0.38595,0.59471,0.25646,0.04053,0.08404
MDA,Moldova,Europe,Northern Hemisphere,High,ECA,80.0,2016,14.07479954,Central and Eastern Europe,5.897,0.69177,0.83132,0.52309,0.25202,0.19997,0.01903
MDG,Madagascar,Africa,Southern Hemisphere,Low,SSA,173.0,2016,10.41318035,Sub-Saharan Africa,3.695,0.27954,0.46115,0.37109,0.13684,0.2204,0.07506
MEX,Mexico,America,Northern Hemisphere,High,LAC,86.0,2016,14.6375103,Latin America and Caribbean,6.778,1.11508,0.7146,0.71143,0.37709,0.11735,0.18355
MKD,North Macedonia,Europe,Northern Hemisphere,High,ECA,78.0,2016,13.45691013,Central and Eastern Europe,5.121,1.0193,0.78236,0.64738,0.27668,0.23507,0.07047
MLI,Mali,Africa,Northern Hemisphere,Low,SSA,186.0,2016,7.403979778,Sub-Saharan Africa,4.073,0.31292,0.86333,0.16347,0.27544,0.21064,0.13647
MLT,Malta,Europe,Northern Hemisphere,Very High,,23.0,2016,15.84722996,Western Europe,6.488,1.30782,1.09879,0.80315,0.54994,0.56237,0.17554
MMR,Myanmar,Asia,Northern Hemisphere,Medium,EAP,149.0,2016,10.22293854,Southeast Asia,4.395,0.34112,0.69981,0.3988,0.42692,0.81971,0.20243
MNE,Montenegro,Europe,Northern Hemisphere,Very High,ECA,49.0,2016,14.89723969,Central and Eastern Europe,5.161,1.07838,0.74173,0.63533,0.15111,0.17191,0.12721
MNG,Mongolia,Asia,Northern Hemisphere,High,EAP,96.0,2016,14.84849644,East Asia,4.907,0.98853,1.08983,0.55469,0.35972,0.34539,0.03285
MRT,Mauritania,Africa,Northern Hemisphere,Medium,SSA,158.0,2016,8.617939949,Sub-Saharan Africa,4.201,0.61391,0.84142,0.28639,0.1268,0.22686,0.17955
MUS,Mauritius,Africa,Southern Hemisphere,Very High,SSA,63.0,2016,15.09776974,Sub-Saharan Africa,5.648,1.14372,0.75695,0.66189,0.46145,0.36951,0.05203
MWI,Malawi,Africa,Southern Hemisphere,Low,SSA,169.0,2016,11.98453101,Sub-Saharan Africa,4.156,0.08709,0.147,0.29364,0.4143,0.30968,0.07564
MYS,Malaysia,Asia,Northern Hemisphere,Very High,EAP,62.0,2016,13.8724699,Southeast Asia,6.005,1.25142,0.88025,0.62366,0.39031,0.41474,0.09081
NER,Niger,Africa,Northern Hemisphere,Low,SSA,189.0,2016,6.21517992,Sub-Saharan Africa,3.856,0.1327,0.6053,0.26162,0.38041,0.2097,0.17176
NGA,Nigeria,Africa,Northern Hemisphere,Low,SSA,163.0,2016,9.579133632,Sub-Saharan Africa,4.875,0.75216,0.64498,0.05108,0.27854,0.23219,0.0305
NIC,Nicaragua,America,Northern Hemisphere,Medium,LAC,126.0,2016,12.02540046,Latin America and Caribbean,5.992,0.69384,0.89521,0.65213,0.46582,0.29773,0.16292
NLD,Netherlands,Europe,Northern Hemisphere,Very High,,10.0,2016,18.04483032,Western Europe,7.339,1.46468,1.02912,0.81231,0.55211,0.47416,0.29927
NOR,Norway,Europe,Northern Hemisphere,Very High,,2.0,2016,17.96912956,Western Europe,7.498,1.57744,1.1269,0.79579,0.59609,0.37895,0.35776
NPL,Nepal,Asia,Northern Hemisphere,Medium,SA,143.0,2016,12.61919975,South Asia,4.793,0.44626,0.69699,0.50073,0.37012,0.3816,0.07008
NZL,New Zealand,Oceania,Southern Hemisphere,Very High,,13.0,2016,18.12450027,North America and ANZ,7.334,1.36066,1.17278,0.83096,0.58147,0.49401,0.41904
PAK,Pakistan,Asia,Northern Hemisphere,Low,SA,161.0,2016,7.989449978,South Asia,5.132,0.68816,0.26135,0.40306,0.14622,0.31185,0.1388
PAN,Panama,America,Northern Hemisphere,Very High,LAC,61.0,2016,12.90561008,Latin America and Caribbean,6.701,1.18306,0.98912,0.70835,0.48927,0.2418,0.08423
PER,Peru,America,Southern Hemisphere,High,LAC,84.0,2016,14.86186981,Latin America and Caribbean,5.743,0.99602,0.81255,0.62994,0.37502,0.14527,0.05292
PHL,Philippines,Asia,Northern Hemisphere,Medium,EAP,116.0,2016,12.84617043,Southeast Asia,5.279,0.81217,0.87877,0.47036,0.54854,0.21674,0.11757
POL,Poland,Europe,Northern Hemisphere,Very High,,34.0,2016,16.04790942,Central and Eastern Europe,5.835,1.24585,1.04685,0.69058,0.4519,0.14443,0.055
PRT,Portugal,Europe,Northern Hemisphere,Very High,,38.0,2016,16.37409019,Western Europe,5.123,1.27607,0.94367,0.79363,0.44727,0.11691,0.01521
PRY,Paraguay,America,Southern Hemisphere,High,LAC,105.0,2016,12.76987498,Latin America and Caribbean,5.538,0.89373,1.11111,0.58295,0.46235,0.25296,0.07396
ROU,Romania,Europe,Northern Hemisphere,Very High,,53.0,2016,14.32149029,Central and Eastern Europe,5.528,1.1697,0.72803,0.67602,0.36712,0.12889,0.00679
SAU,Saudi Arabia,Asia,Northern Hemisphere,Very High,AS,35.0,2016,16.13574982,Middle East and North Africa,6.379,1.48953,0.84829,0.59267,0.37904,0.15457,0.30008
SEN,Senegal,Africa,Northern Hemisphere,Low,SSA,170.0,2016,9.163832664,Sub-Saharan Africa,4.219,0.44314,0.77416,0.40457,0.31056,0.19103,0.11681
SGP,Singapore,Asia,Northern Hemisphere,Very High,EAP,12.0,2016,16.31657982,Southeast Asia,6.739,1.64555,0.86758,0.94719,0.4877,0.32706,0.46987
SLE,Sierra Leone,Africa,Northern Hemisphere,Low,SSA,181.0,2016,9.383578471,Sub-Saharan Africa,4.635,0.36485,0.628,0.0,0.30685,0.23897,0.08196
SLV,El Salvador,America,Northern Hemisphere,Medium,LAC,125.0,2016,12.5769017,Latin America and Caribbean,6.068,0.8737,0.80975,0.596,0.37269,0.08877,0.10613
SRB,Serbia,Europe,Northern Hemisphere,Very High,ECA,63.0,2016,14.64188004,Central and Eastern Europe,5.177,1.03437,0.81329,0.6458,0.15718,0.20737,0.04339
SVK,Slovakia,Europe,Northern Hemisphere,Very High,,45.0,2016,14.53180027,Central and Eastern Europe,6.078,1.27973,1.08268,0.70367,0.23391,0.13837,0.02947
SVN,Slovenia,Europe,Northern Hemisphere,Very High,,23.0,2016,17.5005703,Central and Eastern Europe,5.768,1.29947,1.05613,0.79151,0.53164,0.25738,0.03635
SWE,Sweden,Europe,Northern Hemisphere,Very High,,7.0,2016,18.83242989,Western Europe,7.291,1.45181,1.08764,0.83121,0.58218,0.38254,0.40867
TCD,Chad,Africa,Northern Hemisphere,Low,SSA,190.0,2016,7.51528615,Sub-Saharan Africa,3.763,0.42214,0.63178,0.03824,0.12807,0.18667,0.04952
TGO,Togo,Africa,Northern Hemisphere,Low,SSA,162.0,2016,12.60480022,Sub-Saharan Africa,3.303,0.28123,0.0,0.24811,0.34678,0.17517,0.11587
THA,Thailand,Asia,Northern Hemisphere,Very High,EAP,66.0,2016,15.42483997,Southeast Asia,6.474,1.0893,1.04477,0.64915,0.49553,0.58696,0.02833
TJK,Tajikistan,Asia,Northern Hemisphere,Medium,ECA,122.0,2016,11.5214298,Commonwealth of Independent States,4.996,0.48835,0.75602,0.53119,0.43408,0.25998,0.13509
TUN,Tunisia,Africa,Northern Hemisphere,High,AS,97.0,2016,15.12561035,Middle East and North Africa,5.045,0.97724,0.43165,0.59577,0.23553,0.03936,0.0817
TZA,Tanzania,Africa,Southern Hemisphere,Low,SSA,160.0,2016,8.313139915,Sub-Saharan Africa,3.666,0.47155,0.77623,0.357,0.3176,0.31472,0.05099
UGA,Uganda,Africa,Northern Hemisphere,Low,SSA,166.0,2016,10.52989664,Sub-Saharan Africa,3.739,0.34719,0.90981,0.19625,0.43653,0.27102,0.06442
UKR,Ukraine,Europe,Northern Hemisphere,High,ECA,77.0,2016,14.90092826,Central and Eastern Europe,4.324,0.87287,1.01413,0.58628,0.12859,0.20363,0.01829
URY,Uruguay,America,Southern Hemisphere,Very High,LAC,58.0,2016,16.63433075,Latin America and Caribbean,6.545,1.18157,1.03143,0.72183,0.54388,0.18056,0.21394
USA,United States,America,Northern Hemisphere,Very High,,21.0,2016,16.27448082,North America and ANZ,7.104,1.50796,1.04782,0.779,0.48163,0.41077,0.14868
UZB,Uzbekistan,Asia,Northern Hemisphere,High,ECA,101.0,2016,11.89163971,Commonwealth of Independent States,5.987,0.73591,1.1681,0.50163,0.60848,0.34326,0.28333
VEN,Venezuela,America,Northern Hemisphere,Medium,LAC,120.0,2016,13.59578,Latin America and Caribbean,6.084,1.13367,1.03302,0.61904,0.19847,0.0425,0.08304
ZAF,South Africa,Africa,Southern Hemisphere,High,SSA,109.0,2016,14.01766014,Sub-Saharan Africa,4.459,1.02416,0.96053,0.18611,0.42483,0.13656,0.08415
ZMB,Zambia,Africa,Southern Hemisphere,Medium,SSA,154.0,2016,10.92757624,Sub-Saharan Africa,4.795,0.61202,0.6376,0.23573,0.42662,0.17866,0.11479
ZWE,Zimbabwe,Africa,Southern Hemisphere,Medium,SSA,146.0,2016,11.72748318,Sub-Saharan Africa,4.193,0.35041,0.71478,0.1595,0.25429,0.18503,0.08582
AFG,Afghanistan,Asia,Northern Hemisphere,Low,SA,180.0,2017,10.19174981,South Asia,3.79399991,0.401477218,0.581543326,0.180746779,0.10617952,0.311870933,0.06115783
ALB,Albania,Europe,Northern Hemisphere,High,ECA,67.0,2017,14.81612968,Central and Eastern Europe,4.644000053,0.996192753,0.803685248,0.731159747,0.381498635,0.201312944,0.039864216
ARE,United Arab Emirates,Asia,Northern Hemisphere,Very High,AS,26.0,2017,14.3441,Middle East and North Africa,6.647999763,1.626343369,1.266410232,0.726798236,0.60834527,0.360941947,0.324489564
ARG,Argentina,America,Southern Hemisphere,Very High,LAC,47.0,2017,17.6541996,Latin America and Caribbean,6.598999977,1.185295463,1.440451145,0.695137084,0.494519204,0.109457061,0.059739888
ARM,Armenia,Asia,Northern Hemisphere,High,ECA,85.0,2017,13.03505675,Central and Eastern Europe,4.375999928,0.900596738,1.007483721,0.637524426,0.198303267,0.083488092,0.026674422
AUS,Australia,Oceania,Southern Hemisphere,Very High,,5.0,2017,21.95433044,North America and ANZ,7.28399992,1.484414935,1.510041952,0.843886793,0.601607382,0.47769925,0.30118373
AUT,Austria,Europe,Northern Hemisphere,Very High,,25.0,2017,16.09206963,Western Europe,7.006000042,1.487097263,1.459944963,0.815328419,0.56776619,0.316472322,0.221060365
BEL,Belgium,Europe,Northern Hemisphere,Very High,,13.0,2017,19.77437973,Western Europe,6.890999794,1.463780761,1.462312698,0.818091869,0.539770722,0.231503338,0.251343131
BEN,Benin,Africa,Northern Hemisphere,Low,SSA,166.0,2017,12.15258217,Sub-Saharan Africa,3.657000065,0.431085408,0.435299844,0.209930211,0.425962776,0.207948461,0.060929015
BFA,Burkina Faso,Africa,Northern Hemisphere,Low,SSA,184.0,2017,8.906479836,Sub-Saharan Africa,4.032000065,0.350227714,1.043280005,0.215844259,0.324367851,0.250864685,0.120328106
BGD,Bangladesh,Asia,Northern Hemisphere,Medium,SA,129.0,2017,11.59809017,South Asia,4.607999802,0.586682975,0.735131741,0.533241034,0.478356659,0.172255352,0.123717859
BGR,Bulgaria,Europe,Northern Hemisphere,High,,68.0,2017,14.41442013,Central and Eastern Europe,4.714000225,1.161459088,1.434379458,0.70821768,0.289231718,0.113177694,0.011051531
BHR,Bahrain,Asia,Northern Hemisphere,Very High,AS,35.0,2017,16.41513062,Middle East and North Africa,6.086999893,1.488412261,1.323110461,0.653133035,0.536746919,0.172668487,0.25704217
BIH,Bosnia and Herzegovina,Europe,Northern Hemisphere,High,ECA,74.0,2017,13.78761333,Central and Eastern Europe,5.18200016,0.982409418,1.069335938,0.705186307,0.204403177,0.328867495,0.0
BOL,Bolivia,America,Southern Hemisphere,Medium,LAC,118.0,2017,14.90059471,Latin America and Caribbean,5.822999954,0.833756566,1.227619052,0.47363025,0.558732927,0.225560725,0.060477726
BRA,Brazil,America,Southern Hemisphere,High,LAC,87.0,2017,15.48515987,Latin America and Caribbean,6.635000229,1.10735321,1.431306005,0.616552353,0.437453747,0.162349895,0.111092761
BWA,Botswana,Africa,Southern Hemisphere,Medium,SSA,117.0,2017,12.29380874,Sub-Saharan Africa,3.766000032,1.122094154,1.221554995,0.341755509,0.505196333,0.099348448,0.098583199
CAN,Canada,America,Northern Hemisphere,Very High,,15.0,2017,16.15789032,North America and ANZ,7.315999985,1.479204416,1.481348991,0.834557652,0.611100912,0.435539722,0.287371516
CHE,Switzerland,Europe,Northern Hemisphere,Very High,,1.0,2017,16.32843971,Western Europe,7.493999958,1.564979553,1.516911745,0.858131289,0.620070577,0.290549278,0.367007285
CHL,Chile,America,Southern Hemisphere,Very High,LAC,42.0,2017,16.44754982,Latin America and Caribbean,6.65199995,1.25278461,1.284024954,0.819479704,0.376895279,0.326662421,0.082287982
CHN,China,Asia,Northern Hemisphere,High,EAP,79.0,2017,13.89733,East Asia,5.272999763,1.081165791,1.160837412,0.741415501,0.472787708,0.028806841,0.022794275
CIV,Ivory Coast,Africa,Northern Hemisphere,Medium,SSA,159.0,2017,9.954739571,Sub-Saharan Africa,4.179999828,0.603048921,0.90478003,0.04864217,0.447706193,0.20123747,0.130061775
CMR,Cameroon,Africa,Northern Hemisphere,Medium,SSA,151.0,2017,12.43018527,Sub-Saharan Africa,4.695000172,0.564305365,0.946018219,0.132892117,0.430388749,0.236298457,0.051306631
COL,Colombia,America,Northern Hemisphere,High,LAC,88.0,2017,14.40923977,Latin America and Caribbean,6.356999874,1.070622325,1.402182937,0.595027924,0.477487415,0.149014473,0.046668742
CRI,Costa Rica,America,Northern Hemisphere,Very High,LAC,58.0,2017,15.66736984,Latin America and Caribbean,7.078999996,1.109706283,1.416403651,0.759509265,0.58013165,0.214613229,0.100106589
DEU,Germany,Europe,Northern Hemisphere,Very High,,9.0,2017,16.97719002,Western Europe,6.951000214,1.487923384,1.472520351,0.798950732,0.562511384,0.33626917,0.276731938
DNK,Denmark,Europe,Northern Hemisphere,Very High,,6.0,2017,18.89341927,Western Europe,7.521999836,1.482383013,1.551121593,0.792565525,0.626006722,0.355280489,0.400770068
DOM,Dominican Republic,America,Northern Hemisphere,High,LAC,80.0,2017,14.22251987,Latin America and Caribbean,5.230000019,1.079373837,1.402416706,0.574873745,0.552589834,0.18696785,0.113945253
DZA,Algeria,Africa,Northern Hemisphere,High,AS,91.0,2017,14.52869073,Middle East and North Africa,5.872000217,1.091864467,1.146217465,0.617584646,0.233335808,0.069436647,0.14609611
ECU,Ecuador,America,Southern Hemisphere,High,LAC,95.0,2017,14.95492999,Latin America and Caribbean,6.007999897,1.000820398,1.286168814,0.685636222,0.455198199,0.150112465,0.140134647
EGY,Egypt,Africa,Northern Hemisphere,High,AS,97.0,2017,13.32623959,Middle East and North Africa,4.735000134,0.989701807,0.997471392,0.520187259,0.282110155,0.128631443,0.114381365
ESP,Spain,Europe,Northern Hemisphere,Very High,,27.0,2017,17.61613083,Western Europe,6.402999878,1.384397864,1.532090902,0.8889606,0.40878123,0.190133572,0.070914097
EST,Estonia,Europe,Northern Hemisphere,Very High,,31.0,2017,15.9211998,Central and Eastern Europe,5.611000061,1.32087934,1.4766711,0.695168316,0.47913143,0.098890811,0.183248922
ETH,Ethiopia,Africa,Northern Hemisphere,Low,SSA,175.0,2017,9.277567601,Sub-Saharan Africa,4.460000038,0.339233845,0.864669204,0.353409708,0.408842742,0.31265074,0.165455714
FIN,Finland,Europe,Northern Hemisphere,Very High,,11.0,2017,19.39711952,Western Europe,7.468999863,1.443571925,1.540246725,0.80915767,0.617950857,0.245482773,0.382611543
FRA,France,Europe,Northern Hemisphere,Very High,,28.0,2017,15.64560032,Western Europe,6.441999912,1.430923462,1.387776852,0.844465852,0.470222116,0.129762307,0.172502428
GAB,Gabon,Africa,Southern Hemisphere,High,SSA,112.0,2017,12.8135,Sub-Saharan Africa,4.465000153,1.198210239,1.155620217,0.356578588,0.312328577,0.043785378,0.076046787
GBR,United Kingdom,Europe,Northern Hemisphere,Very High,,18.0,2017,17.49843025,Western Europe,6.714000225,1.44163394,1.49646008,0.805335939,0.508190036,0.492774159,0.265428066
GEO,Georgia,Asia,Northern Hemisphere,Very High,ECA,63.0,2017,15.02781963,Central and Eastern Europe,4.285999775,0.950612664,0.570614934,0.649546981,0.309410036,0.054008815,0.251666635
GHA,Ghana,Africa,Northern Hemisphere,Medium,SSA,133.0,2017,11.46961975,Sub-Saharan Africa,4.119999886,0.667224824,0.873664737,0.295637727,0.423026294,0.256923944,0.02533637
GIN,Guinea,Africa,Northern Hemisphere,Low,SSA,182.0,2017,9.478772845,Sub-Saharan Africa,3.506999969,0.24454993,0.791244686,0.194129139,0.348587513,0.264815092,0.110937618
GRC,Greece,Europe,Northern Hemisphere,Very High,,33.0,2017,19.10166931,Western Europe,5.227000237,1.289487481,1.239414573,0.810198903,0.095731251,0.0,0.043289777
GTM,Guatemala,America,Northern Hemisphere,Medium,LAC,135.0,2017,10.65756512,Latin America and Caribbean,6.453999996,0.872001946,1.255585194,0.54023999,0.531310618,0.283488393,0.077223279
HND,Honduras,America,Northern Hemisphere,Medium,LAC,137.0,2017,9.807000421,Latin America and Caribbean,5.181000233,0.730573118,1.143944979,0.58256948,0.34807986,0.236188874,0.073345453
HRV,Croatia,Europe,Northern Hemisphere,Very High,,40.0,2017,15.22671986,Central and Eastern Europe,5.293000221,1.222556233,0.967983007,0.701288521,0.255772293,0.248002976,0.04310311
HUN,Hungary,Europe,Northern Hemisphere,Very High,,46.0,2017,15.20417976,Central and Eastern Europe,5.323999882,1.286011934,1.343133092,0.687763453,0.175863519,0.078401662,0.036636937
IDN,Indonesia,Asia,Southern Hemisphere,High,EAP,114.0,2017,13.53096962,Southeast Asia,5.262000084,0.995538592,1.274444699,0.492345721,0.443323463,0.611704588,0.015317135
IND,India,Asia,Northern Hemisphere,Medium,SA,132.0,2017,12.16333008,South Asia,4.315000057,0.792221248,0.754372597,0.455427617,0.469987005,0.231538489,0.092226885
IRL,Ireland,Europe,Northern Hemisphere,Very High,,8.0,2017,18.70528984,Western Europe,6.977000237,1.535706639,1.558231115,0.809782624,0.573110342,0.427858323,0.298388153
IRN,Iran,Asia,Northern Hemisphere,High,SA,76.0,2017,14.81373024,Middle East and North Africa,4.691999912,1.156873107,0.711551249,0.639333189,0.249322608,0.387242913,0.048761073
IRQ,Iraq,Asia,Northern Hemisphere,Medium,AS,121.0,2017,11.8244955,Middle East and North Africa,4.497000217,1.102710485,0.978613198,0.50118047,0.288555533,0.199637264,0.107215755
ISL,Iceland,Europe,Northern Hemisphere,Very High,,3.0,2017,19.08308983,Western Europe,7.504000187,1.48063302,1.610574007,0.833552122,0.627162635,0.475540221,0.153526559
ISR,Israel,Asia,Northern Hemisphere,Very High,,22.0,2017,16.16283035,Middle East and North Africa,7.212999821,1.375382423,1.376289964,0.838404,0.405988604,0.330082655,0.0852421
ITA,Italy,Europe,Northern Hemisphere,Very High,,30.0,2017,16.08889961,Western Europe,5.964000225,1.395066619,1.444923282,0.853144348,0.256450713,0.172789648,0.028028091
JAM,Jamaica,America,Northern Hemisphere,High,LAC,110.0,2017,13.26030772,Latin America and Caribbean,5.31099987,0.925579309,1.368218064,0.641022384,0.474307239,0.233818337,0.055267781
JOR,Jordan,Asia,Northern Hemisphere,High,AS,102.0,2017,10.14295006,Middle East and North Africa,5.335999966,0.991012394,1.239088893,0.604590058,0.418421149,0.17217046,0.119803272
JPN,Japan,Asia,Northern Hemisphere,Very High,,19.0,2017,15.21569,East Asia,5.920000076,1.416915178,1.436337829,0.913475871,0.505625546,0.120572768,0.163760737
KAZ,Kazakhstan,Asia,Northern Hemisphere,Very High,ECA,56.0,2017,15.29436016,Commonwealth of Independent States,5.818999767,1.28455627,1.384369016,0.606041551,0.437454283,0.201964423,0.119282886
KEN,Kenya,Africa,Northern Hemisphere,Medium,SSA,152.0,2017,10.61099717,Sub-Saharan Africa,4.552999973,0.560479462,1.067950726,0.30998835,0.452763766,0.444860309,0.064641319
KGZ,Kyrgyzstan,Asia,Northern Hemisphere,Medium,ECA,118.0,2017,12.97451019,Commonwealth of Independent States,5.004000187,0.596220076,1.394238591,0.553457797,0.454943389,0.428580374,0.039439179
KHM,Cambodia,Asia,Northern Hemisphere,Medium,EAP,146.0,2017,11.33676945,Southeast Asia,4.168000221,0.601765096,1.006238341,0.429783404,0.633375823,0.385922968,0.068105951
KOR,South Korea,Asia,Northern Hemisphere,Very High,,19.0,2017,16.4816494,East Asia,5.837999821,1.401678443,1.128274441,0.900214076,0.257921666,0.206674367,0.063282669
LBN,Lebanon,Asia,Northern Hemisphere,High,AS,112.0,2017,11.28587,Middle East and North Africa,5.224999905,1.074987531,1.129624248,0.735081077,0.288515985,0.264450759,0.03751383
LBR,Liberia,Africa,Northern Hemisphere,Low,SSA,178.0,2017,10.19917812,Sub-Saharan Africa,3.532999992,0.119041793,0.872117937,0.229918197,0.332881182,0.266549885,0.038948249
LKA,Sri Lanka,Asia,Northern Hemisphere,High,SA,73.0,2017,13.90752983,South Asia,4.440000057,1.009850144,1.259976387,0.625130832,0.561213255,0.490863562,0.073653966
LTU,Lithuania,Europe,Northern Hemisphere,Very High,,35.0,2017,16.63731003,Central and Eastern Europe,5.90199995,1.314582348,1.473516107,0.62894994,0.234231785,0.010164657,0.011865643
LUX,Luxembourg,Europe,Northern Hemisphere,Very High,,17.0,2017,14.25582027,Western Europe,6.862999916,1.741943598,1.457583666,0.845089495,0.596627891,0.283180982,0.318834424
LVA,Latvia,Europe,Northern Hemisphere,Very High,,39.0,2017,16.16769028,Central and Eastern Europe,5.849999905,1.260748625,1.404714942,0.638566971,0.325707912,0.153074786,0.073842727
MAR,Morocco,Africa,Northern Hemisphere,Medium,AS,123.0,2017,13.5034399,Middle East and North Africa,5.235000134,0.878114581,0.774864435,0.597710669,0.408158332,0.032209955,0.087763183
MDA,Moldova,Europe,Northern Hemisphere,High,ECA,80.0,2017,14.29790974,Central and Eastern Europe,5.837999821,0.72887063,1.251825571,0.589465201,0.240729049,0.208779126,0.010091286
MDG,Madagascar,Africa,Southern Hemisphere,Low,SSA,173.0,2017,10.29355001,Sub-Saharan Africa,3.644000053,0.305808693,0.913020372,0.375223309,0.189196765,0.20873253,0.067231975
MEX,Mexico,America,Northern Hemisphere,High,LAC,86.0,2017,14.80978012,Latin America and Caribbean,6.578000069,1.153183818,1.21086216,0.709978998,0.412730008,0.120990433,0.132774115
